Albrecht Präzision GmbH & Co. KG	Albrecht Präzision GmbH &amp;amp; Co. KG	Antoniusstr. 25	Moritz Kächele	Uwe Rolf
Schlosserei Schickler  Inh. Husein Oleik	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Garten-Landschaftsbau Montagen Jochen Bauer	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Coskun GbR DLZ Süd Stuttgart	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Schlosserei Schindler Inh. Michael Schindler	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Marc M. Jäger Metallbau e.K.	Marc M. Jäger Metallbau e.K.	Heinrich-Baumann-Str. 7B	<Not Found>	<Not Found>
Schlosserei Balic Drazen Balic Bauschlosserei-Edelstahlverarbeitung-Kunstschmiede	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Metallbau Rainer Freese	<Not Found>	<Not Found>	<Not Found>	<Not Found>
PIZ Sicherheitstechnik Schloss & Schlüsseldienst GmbH	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Bernd Maurach  Schlosserei u. Kunstschmiede	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Carlo Heindel Schlosserei	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Bauschlosserei Marcus Bürkle	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Metallbau Nick Gerstenberger	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Schlosserei Metallbau Messner	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Sprenger Sicherungssysteme Schlüsseldienst & Sicherungssysteme	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Schlosserei Erkert Inh. Martin Acker	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Bauschlosserei Heyer Inh. B. Akyildiz	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Hofmann Montageservice Markus Hofmann	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Heinrich Haas Schlosserei Inh. Roland Haas	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Schlosserei Körner Zaun-, Tor - und Metallbau	<Not Found>	<Not Found>	<Not Found>	<Not Found>
J + K Schlosserei Metallbau Edelstahl	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Traber Präzisionsschleiferei AG	Traber Präzisionsschleiferei Aktiengesellschaft	Theodorstr. 16	<Not Found>	<Not Found>
Traber Präzisionsschleiferei AG	Traber Präzisionsschleiferei Aktiengesellschaft	Theodorstr. 16	<Not Found>	<Not Found>
Metallbau Niethammer Inh. Detlef Nalmpantis	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Schlosserei MBI Inh. Izudin Ibrahimovic	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Fugen + Fassadentechnik GmbH Inh. Zarko Tadic	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Michael Bauer Werkhof e.V.	<Not Found>	<Not Found>	<Not Found>	<Not Found>
