Albrecht Präzision GmbH & Co. KG	Albrecht Präzision GmbH &amp;amp; Co. KG	Antoniusstr. 25	Moritz Kächele	Uwe Rolf
Prüftechnik Elisabeth Koch	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Qioptiq, an Excelitas company	<Not Found>	<Not Found>	<Not Found>	<Not Found>
QPT Innovative Technik Handels GmbH	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Rauscher GmbH	INGÉROP Deutschland GmbH	Dillwächterstr. 5	<Not Found>	<Not Found>
Saurer MarkingSolutions  Markiertechnologie	<Not Found>	<Not Found>	<Not Found>	<Not Found>
TQI Innovationszentrum	<Not Found>	<Not Found>	<Not Found>	<Not Found>
TQI Metricon Kalibrierservice	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Ultra Präzision Messzeuge GmbH	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Vester Elektronik GmbH A Kistler Group Company	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Vötsch Industrietechnik GmbH Umweltsimulation Wärmetechnik	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Wimeko Messtechnik e.K.	Wimeko Messtechnik e.K.	Dr.-Rudolf-Schieber-Str. 2	<Not Found>	<Not Found>
Wolf Maschinenbau AG	Wolf Maschinenbau AG	Wilhelm-Maybach-Str. 2	<Not Found>	<Not Found>
Fraunhofer-Einrichtung für Wertstoffkreisläufe und Ressourcenstrategie IWKS	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Actron AG	ACTRON AG	Justus-von-Liebigstr. 2-14	<Not Found>	<Not Found>
ADEO Heatpipe Ltd.	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Advantech Europe B.V. Zweigniederlassung Deutschland	Advantech Europe B.V. Zweigniederlassung Deutschland	Industriestr. 15	<Not Found>	<Not Found>
AMS Technologies AG	AMS Technologies AG	Landsbergerstr. 350-356	Sonja Gehr	Karin Melch
ANSMANN AG	ANSMANN AG	Industriestr. 10	Kurt Scheuermann	Manfred Blank
as electronic GmbH & Co. KG	as electronic GmbH &amp;amp; Co. KG	Römerstr. 39	<Not Found>	<Not Found>
Avnet Abacus	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Avnet Silica	<Not Found>	<Not Found>	<Not Found>	<Not Found>
AXTAL GmbH & Co.KG	Axtal GmbH &amp;amp; Co. KG	Herstellung	<Not Found>	<Not Found>
Azbil Europe NV	<Not Found>	<Not Found>	<Not Found>	<Not Found>
binder ITZ Innovations- & Technologiezentrum Franz Binder GmbH & Co Elektrische Bauelemente KG	<Not Found>	<Not Found>	<Not Found>	<Not Found>
centrotherm international AG	centrotherm international AG	Württembergerstr. 31	Roland Uwe Brunner	Roger Böttinger
CML Group	CML Group SE	Im Ermlisgrund 8	<Not Found>	<Not Found>
Compupack Technology Niederlassung Deutschland	<Not Found>	<Not Found>	<Not Found>	<Not Found>
ComS.I.T. AG Component Solutions in Time	<Not Found>	<Not Found>	<Not Found>	<Not Found>
congatec AG	congatec AG	Auwiesenstr. 5	<Not Found>	<Not Found>
Conrad Electronic SE	Conrad Electronic SE	Klaus-Conrad-Str. 1	<Not Found>	<Not Found>
COSINUS Messtechnik GmbH	COSINUS Messtechnik GmbH	Rotwandweg 4	<Not Found>	<Not Found>
CS CLEAN SOLUTIONS AG	CS CLEAN SOLUTIONS AG	Fraunhoferstr. 4	Stefanie Ullius	<Not Found>
DELTEC Automotive GmbH & Co. KG	Fa. DELTEC Automotive GmbH &amp;amp; Co. KG	Dr.-Georg-Schäfer-Str. 1	<Not Found>	<Not Found>
Deutscher Christlicher Techniker-Bund e.V.	Deutscher Christlicher Techniker-Bund e.V.	Korntal-Münchingen	<Not Found>	<Not Found>
Diener electronic GmbH + Co. KG Plasma Surface Technology	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Diotec Semiconductor AG	DIOTEC SEMICONDUCTOR AG	Kreuzmattenstr. 4	<Not Found>	<Not Found>
EKL AG	EKL AG	Nadlerstr. 8-10	Robert Heiß	<Not Found>
Electrovac Hacht & Huber GmbH	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Elektrotechnik Weber	Weber Elektrotechnik GmbH	Coulangerstr. 2	<Not Found>	<Not Found>
Endrich Bauelemente Vertriebs GmbH	Endrich Bauelemente Vertriebs GmbH	Hauptstr. 56	Armin Bruhn	<Not Found>
ERNI Electronics GmbH & Co. KG	ERNI Production GmbH &amp;amp; Co. KG	Seestr. 9	Jürgen Sahm	Dr. Michael Burger
ET System electronic GmbH	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Farnell element14	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Filmetrics Europe GmbH Deutschland	<Not Found>	<Not Found>	<Not Found>	<Not Found>
FINESTFOG GmbH Luftbefeuchtung + Wasseraufbereitung	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Franz Binder GmbH & Co. Elektrische Bauelemente KG	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Georg Schlegel GmbH & Co. KG Elektrotechnische Fabrik	<Not Found>	<Not Found>	<Not Found>	<Not Found>
GEYER ELECTRONIC e.K.	Geyer Electronic e.K.	Lochhamer Schlag 5	Cordula Reichmann	<Not Found>
Gruner AG	Eat the World GmbH	Sonnenallee 262	Dr. Kirsten Freifrau von Hutten zum Stolzenberg	Bettina Wulf
